Time (milliseconds),time,accelleration,x_accelleration,y_accelleration,z_accelleration,altitude
437409,437.38,9.502239,7.22016,5.4936,-2.82528,416.9191
437446,437.416,10.25058,7.53408,6.2784,-2.98224,416.7526
437521,437.492,10.00982,7.0632,6.43536,-2.98224,417.2336
437556,437.528,10.1552,7.53408,6.12144,-2.98224,416.9191
437593,437.564,9.993805,7.37712,6.12144,-2.82528,417.1596
437628,437.6,10.03931,7.37712,6.12144,-2.98224,416.1951
437700,437.672,10.09071,7.37712,6.2784,-2.82528,416.9191
437737,437.708,10.03931,7.37712,6.12144,-2.98224,416.2691
437773,437.744,10.33317,7.37712,6.59232,-2.98224,416.602
437808,437.78,10.26139,7.53408,6.43536,-2.66832,416.6787
437844,437.816,9.924541,7.22016,6.12144,-2.98224,417.0856
437916,437.888,10.34627,7.53408,6.2784,-3.29616,417.1596
437953,437.924,10.13578,7.37712,6.2784,-2.98224,416.5095
437988,437.96,10.12118,7.22016,6.43536,-2.98224,416.4356
438024,437.996,9.976534,7.22016,6.2784,-2.82528,416.2691
438096,438.068,10.16854,7.22016,6.43536,-3.1392,417.0856
438132,438.104,10.02211,7.22016,6.2784,-2.98224,415.7882
438169,438.14,10.34746,7.53408,6.43536,-2.98224,415.9547
438204,438.176,10.20602,7.53408,6.2784,-2.82528,416.0286
438240,438.212,10.39379,7.53408,6.43536,-3.1392,416.9191
438313,438.284,9.924541,7.22016,6.12144,-2.98224,416.7526
438349,438.32,10.18306,7.37712,6.2784,-3.1392,416.5835
438384,438.356,10.26859,7.22016,6.59232,-3.1392,416.0286
438421,438.392,9.950571,7.37712,5.80752,-3.29616,416.2691
438493,438.464,8.611369,7.37712,3.76704,-2.3544,417.4
438529,438.5,10.41391,8.00496,5.4936,-3.76704,417.252
438564,438.536,9.804663,6.74928,6.59232,-2.66832,416.5835
438600,438.572,10.7446,7.37712,7.22016,-2.98224,416.5095
438636,438.608,10.26499,7.22016,6.90624,-2.3544,416.7526
438709,438.68,10.41391,7.0632,6.90624,-3.29616,416.2691
438744,438.716,9.717587,7.22016,6.12144,-2.19744,416.9191
438780,438.752,10.16369,7.848001,5.80752,-2.82528,416.1026
438816,438.788,10.1552,7.53408,6.12144,-2.98224,416.7526
439009,438.98,10.26139,7.53408,6.43536,-2.66832,416.7711
439047,439.016,10.4458,7.53408,6.59232,-2.98224,416.2691
439085,439.056,10.39379,7.53408,6.43536,-3.1392,416.3616
439120,439.092,10.36649,7.691041,6.2784,-2.98224,416.8451
439156,439.128,10.13578,7.37712,6.2784,-2.98224,417.2336
439231,439.2,10.37956,7.37712,6.59232,-3.1392,416.602
439270,439.24,10.55957,7.691041,6.59232,-2.98224,417.0116
439309,439.28,10.13578,7.37712,6.2784,-2.98224,416.5095
439344,439.316,10.08705,7.37712,6.12144,-3.1392,416.7526
439417,439.388,10.23374,7.37712,6.43536,-2.98224,416.7526
439453,439.424,10.18306,7.37712,6.2784,-3.1392,416.7526
439488,439.46,9.976534,7.22016,6.2784,-2.82528,416.1026
439524,439.496,10.07605,7.22016,6.43536,-2.82528,416.3431
439560,439.532,10.23374,7.37712,6.43536,-2.98224,416.5835
439633,439.604,10.07605,7.22016,6.43536,-2.82528,416.9191
439668,439.64,10.23374,7.37712,6.43536,-2.98224,416.4356
439704,439.676,10.34746,7.53408,6.43536,-2.98224,417.1596
439740,439.712,10.51632,7.691041,6.59232,-2.82528,416.9191
439812,439.784,10.13578,7.37712,6.2784,-2.98224,416.5095
439848,439.82,10.12118,7.22016,6.43536,-2.98224,416.0286
439884,439.856,10.18911,7.37712,6.43536,-2.82528,417.0671
439920,439.892,10.23374,7.37712,6.43536,-2.98224,417.2336
439956,439.928,10.18911,7.37712,6.43536,-2.82528,417.2336
440028,440.0,10.29734,7.53408,6.2784,-3.1392,416.9191
440064,440.036,9.734052,7.22016,5.80752,-2.98224,417.326
440100,440.072,10.30213,7.22016,6.90624,-2.51136,417.0856
440136,440.108,10.7044,8.00496,6.12144,-3.61008,416.6787
440209,440.18,10.20602,7.53408,6.2784,-2.82528,416.3431
440244,440.216,9.810942,7.0632,6.12144,-2.98224,416.5095
440280,440.252,9.87851,7.22016,6.12144,-2.82528,417.4
440316,440.288,9.993805,7.37712,6.12144,-2.82528,416.9904
440353,440.324,10.26859,7.22016,6.59232,-3.1392,416.7526
440424,440.396,9.992573,7.22016,6.43536,-2.51136,416.7526
440460,440.432,10.16854,7.22016,6.43536,-3.1392,416.9191
440500,440.468,10.3653,7.0632,6.90624,-3.1392,416.4356
440537,440.508,10.03317,7.22016,6.43536,-2.66832,416.9191
440608,440.58,10.34746,7.53408,6.43536,-2.98224,416.9191
440644,440.616,10.1552,7.53408,6.12144,-2.98224,417.0856
440681,440.652,10.49287,7.37712,6.90624,-2.82528,416.9191
440717,440.688,10.4281,7.37712,6.59232,-3.29616,416.2691
440753,440.724,10.13699,7.37712,6.12144,-3.29616,416.1211
440824,440.796,10.26139,7.53408,6.43536,-2.66832,415.7882
440861,440.832,10.09071,7.37712,6.2784,-2.82528,416.6787
440897,440.868,10.03931,7.37712,6.12144,-2.98224,416.7526
440933,440.904,10.03931,7.37712,6.12144,-2.98224,415.7882
441004,440.976,10.2217,7.22016,6.59232,-2.98224,417.0856
441041,441.012,10.434,7.37712,6.74928,-2.98224,416.602
441077,441.048,10.02211,7.22016,6.2784,-2.98224,416.2691
441113,441.084,10.18306,7.37712,6.2784,-3.1392,416.2691
441148,441.12,10.16854,7.22016,6.43536,-3.1392,416.1026
441221,441.192,10.32243,7.691041,6.2784,-2.82528,417.5691
441257,441.228,10.25058,7.53408,6.2784,-2.98224,417.2336
441293,441.264,10.37956,7.37712,6.59232,-3.1392,416.6787
441328,441.3,10.18911,7.37712,6.43536,-2.82528,416.0286
441401,441.372,10.18306,7.37712,6.2784,-3.1392,417.0856
441437,441.408,10.28058,7.37712,6.43536,-3.1392,416.602
441472,441.444,10.34746,7.53408,6.43536,-2.98224,416.9904
441508,441.48,10.28058,7.37712,6.43536,-3.1392,417.2336
441544,441.516,9.976534,7.22016,6.2784,-2.82528,416.5835
441616,441.588,10.7113,7.53408,7.37712,-1.88352,417.4
441653,441.624,10.13578,7.37712,6.2784,-2.98224,416.8451
441688,441.66,10.67905,7.848001,6.2784,-3.61008,417.1596
441724,441.696,10.07605,7.22016,6.12144,-3.45312,416.0286
441797,441.768,10.28896,7.37712,6.59232,-2.82528,417.1596
441833,441.804,10.41273,7.691041,6.2784,-3.1392,416.9904
441870,441.84,9.898441,7.37712,5.96448,-2.82528,416.9191
441907,441.876,10.11022,7.53408,6.12144,-2.82528,416.1211
441945,441.916,10.46936,8.161921,4.86576,-4.39488,416.5095
442017,441.988,10.67559,7.691041,6.90624,-2.66832,417.1596
442052,442.024,10.22652,7.691041,5.96448,-3.1392,416.7526
442088,442.06,11.05538,7.53408,7.691041,-2.51136,417.326
442125,442.096,10.78807,7.53408,6.90624,-3.45312,416.7526
442304,442.276,10.06994,7.22016,6.2784,-3.1392,416.9191
442341,442.312,10.31766,7.22016,6.59232,-3.29616,416.9191
442376,442.348,10.03931,7.37712,6.12144,-2.98224,416.8451
442412,442.384,10.25058,7.53408,6.2784,-2.98224,416.602
442448,442.42,10.4623,7.691041,6.43536,-2.98224,416.9191
442521,442.492,10.17701,7.22016,6.59232,-2.82528,417.5691
442557,442.528,10.25058,7.53408,6.2784,-2.98224,416.4356
442592,442.564,10.25058,7.53408,6.2784,-2.98224,416.9191
442628,442.6,10.18911,7.37712,6.43536,-2.82528,416.7526
442701,442.672,9.924541,7.22016,6.12144,-2.98224,417.4
442737,442.708,10.08705,7.37712,6.12144,-3.1392,417.4
442772,442.744,9.993805,7.37712,6.12144,-2.82528,417.6404
442808,442.78,10.23374,7.37712,6.43536,-2.98224,417.1596
442844,442.816,10.30332,7.53408,6.43536,-2.82528,417.8069
442917,442.888,10.32959,7.37712,6.43536,-3.29616,416.6787
442952,442.924,9.976534,7.22016,6.2784,-2.82528,416.602
442988,442.96,9.976534,7.22016,6.2784,-2.82528,416.2691
443024,442.996,10.18911,7.37712,6.43536,-2.82528,416.8451
443097,443.068,10.25058,7.53408,6.2784,-2.98224,416.4356
443132,443.104,10.39379,7.53408,6.43536,-3.1392,417.0856
443168,443.14,10.29734,7.53408,6.2784,-3.1392,416.7526
443204,443.176,10.16369,7.53408,6.2784,-2.66832,416.4356
443241,443.212,10.26859,7.22016,6.59232,-3.1392,416.5095
443312,443.284,10.13578,7.37712,6.2784,-2.98224,416.9191
