Time (milliseconds),time,accelleration,x_accelleration,y_accelleration,z_accelleration,temperature
1079085,1079.069,10.60613,2.98224,9.57456,3.45312,19
1079109,1079.093,10.43282,2.66832,9.417601,3.61008,19
1079134,1079.117,10.37006,2.82528,9.417601,3.29616,19
1079193,1079.177,10.60613,2.98224,9.57456,3.45312,19
1079218,1079.201,10.27219,2.98224,9.260641,3.29616,19
1079241,1079.225,10.32124,2.82528,9.417601,3.1392,19
1079268,1079.249,10.51046,3.1392,9.417601,3.45312,19
1079293,1079.277,10.56307,2.82528,9.57456,3.45312,19
1079352,1079.337,10.51046,3.1392,9.417601,3.45312,19
1079376,1079.361,10.51749,2.98224,9.417601,3.61008,19
1079401,1079.385,10.46466,2.98224,9.417601,3.45312,19
1079426,1079.409,10.42101,2.82528,9.417601,3.45312,19
1079486,1079.469,10.47407,2.82528,9.417601,3.61008,19
1079508,1079.493,10.56307,2.82528,9.57456,3.45312,19
1079533,1079.517,10.51749,2.98224,9.417601,3.61008,19
1079557,1079.541,10.46466,2.98224,9.417601,3.45312,19
1079582,1079.565,10.46466,2.98224,9.417601,3.45312,19
1079642,1079.625,10.31885,3.1392,9.260641,3.29616,19
1079665,1079.649,10.42101,2.82528,9.417601,3.45312,19
1079689,1079.673,10.17823,2.82528,9.260641,3.1392,19
1079713,1079.697,10.23736,2.66832,9.260641,3.45312,19
1079738,1079.721,10.46466,2.98224,9.417601,3.45312,19
1079798,1079.781,10.42101,2.82528,9.417601,3.45312,19
1079821,1079.805,10.42101,2.82528,9.417601,3.45312,19
1079845,1079.829,10.27219,2.98224,9.260641,3.29616,19
1079869,1079.853,10.50812,2.98224,9.57456,3.1392,19
1079893,1079.877,10.41392,2.98224,9.417601,3.29616,19
1079954,1079.937,10.45995,3.1392,9.417601,3.29616,19
1079977,1079.961,10.55607,2.98224,9.57456,3.29616,19
1080001,1079.985,10.51281,2.82528,9.57456,3.29616,19
1080025,1080.009,10.37006,3.1392,9.260641,3.45312,19
1080048,1080.033,10.37006,2.82528,9.417601,3.29616,19
1080110,1080.093,10.28897,2.51136,9.417601,3.29616,19
1080133,1080.117,10.37956,2.66832,9.417601,3.45312,19
